Number of robot passes: 
396

No Area Row Col.  X      Y     Put FGr Take Angle
297  1   9   9   86.61  226.88  1   1   1   0    
298  1   9   10  95.33  226.88  1   1   1   0    
299  1   9   11  104.05 226.88  1   1   1   0    
300  1   9   12  112.77 226.88  1   1   1   0    
301  1   9   13  121.49 226.88  1   1   1   0    
302  1   9   14  130.21 226.88  1   1   1   0    
303  1   9   15  138.93 226.88  1   1   1   0    
304  1   9   16  147.66 226.88  1   1   1   0    
305  1   9   17  156.38 226.88  1   1   1   0    
306  1   9   18  165.1  226.88  1   1   1   0    
307  1   9   19  173.82 226.88  1   1   1   0    
308  1   9   20  182.54 226.88  1   1   1   0    
309  1   9   21  191.26 226.88  1   1   1   0    
310  1   9   22  199.98 226.88  1   1   1   0    
311  1   9   23  208.7  226.88  1   1   1   0    
312  1   9   24  217.42 226.88  1   1   1   0    
313  1   9   25  226.14 226.88  1   1   1   0    
314  1   9   26  234.86 226.88  1   1   1   0    
315  1   9   27  243.59 226.88  1   1   1   0    
316  1   9   28  252.31 226.88  1   1   1   0    
317  1   9   29  261.03 226.88  1   1   1   0    
318  1   9   30  269.75 226.88  1   1   1   0    
319  1   9   31  278.47 226.88  1   1   1   0    
320  1   9   32  287.19 226.88  1   1   1   0    
321  1   9   33  295.91 226.88  1   1   1   0    
322  1   9   34  304.63 226.88  1   1   1   0    
323  1   9   35  313.35 226.88  1   1   1   0    
324  1   9   36  322.08 226.88  1   1   1   0    
325  1   10  1   16.84  251.89  1   1   1   0    
326  1   10  2   25.56  251.89  1   1   1   0    
327  1   10  3   34.28  251.89  1   1   1   0    
328  1   10  4   43     251.89  1   1   1   0    
329  1   10  5   51.72  251.89  1   1   1   0    
330  1   10  6   60.44  251.89  1   1   1   0    
331  1   10  7   69.17  251.89  1   1   1   0    
332  1   10  8   77.89  251.89  1   1   1   0    
333  1   10  9   86.61  251.89  1   1   1   0    
334  1   10  10  95.33  251.89  1   1   1   0    
335  1   10  11  104.05 251.89  1   1   1   0    
336  1   10  12  112.77 251.89  1   1   1   0    
337  1   10  13  121.49 251.89  1   1   1   0    
338  1   10  14  130.21 251.89  1   1   1   0    
339  1   10  15  138.93 251.89  1   1   1   0    
340  1   10  16  147.66 251.89  1   1   1   0    
341  1   10  17  156.38 251.89  1   1   1   0    
342  1   10  18  165.1  251.89  1   1   1   0    
343  1   10  19  173.82 251.89  1   1   1   0    
344  1   10  20  182.54 251.89  1   1   1   0    
345  1   10  21  191.26 251.89  1   1   1   0    
346  1   10  22  199.98 251.89  1   1   1   0    
347  1   10  23  208.7  251.89  1   1   1   0    
348  1   10  24  217.42 251.89  1   1   1   0    
349  1   10  25  226.14 251.89  1   1   1   0    
350  1   10  26  234.86 251.89  1   1   1   0    
351  1   10  27  243.59 251.89  1   1   1   0    
352  1   10  28  252.31 251.89  1   1   1   0    
353  1   10  29  261.03 251.89  1   1   1   0    
354  1   10  30  269.75 251.89  1   1   1   0    
355  1   10  31  278.47 251.89  1   1   1   0    
356  1   10  32  287.19 251.89  1   1   1   0    
357  1   10  33  295.91 251.89  1   1   1   0    
358  1   10  34  304.63 251.89  1   1   1   0    
359  1   10  35  313.35 251.89  1   1   1   0    
360  1   10  36  322.08 251.89  1   1   1   0    
361  1   11  1   16.84  276.91  1   1   1   0    
362  1   11  2   25.56  276.91  1   1   1   0    
363  1   11  3   34.28  276.91  1   1   1   0    
364  1   11  4   43     276.91  1   1   1   0    
365  1   11  5   51.72  276.91  1   1   1   0    
366  1   11  6   60.44  276.91  1   1   1   0    
367  1   11  7   69.17  276.91  1   1   1   0    
368  1   11  8   77.89  276.91  1   1   1   0    
369  1   11  9   86.61  276.91  1   1   1   0    
370  1   11  10  95.33  276.91  1   1   1   0    
371  1   11  11  104.05 276.91  1   1   1   0    
372  1   11  12  112.77 276.91  1   1   1   0    
373  1   11  13  121.49 276.91  1   1   1   0    
374  1   11  14  130.21 276.91  1   1   1   0    
375  1   11  15  138.93 276.91  1   1   1   0    
376  1   11  16  147.66 276.91  1   1   1   0    
377  1   11  17  156.38 276.91  1   1   1   0    
378  1   11  18  165.1  276.91  1   1   1   0    
379  1   11  19  173.82 276.91  1   1   1   0    
380  1   11  20  182.54 276.91  1   1   1   0    
381  1   11  21  191.26 276.91  1   1   1   0    
382  1   11  22  199.98 276.91  1   1   1   0    
383  1   11  23  208.7  276.91  1   1   1   0    
384  1   11  24  217.42 276.91  1   1   1   0    
385  1   11  25  226.14 276.91  1   1   1   0    
386  1   11  26  234.86 276.91  1   1   1   0    
387  1   11  27  243.59 276.91  1   1   1   0    
388  1   11  28  252.31 276.91  1   1   1   0    
389  1   11  29  261.03 276.91  1   1   1   0    
390  1   11  30  269.75 276.91  1   1   1   0    
391  1   11  31  278.47 276.91  1   1   1   0    
392  1   11  32  287.19 276.91  1   1   1   0    
393  1   11  33  295.91 276.91  1   1   1   0    
394  1   11  34  304.63 276.91  1   1   1   0    
395  1   11  35  313.35 276.91  1   1   1   0    
396  1   11  36  322.08 276.91  1   1   1   0    
